'id';'data';'contributor_id';'design_id'
1;'{"slogan": "Are you a super color perceiver?"}';1;1
2;'{"slogan": "What countries see more colorfully?"}';1;2
3;'{"slogan": "Discover the kaleidoscope in your eyes!"}';1;3
4;'{"slogan": "Help us discover how people see color differently!"}';1;4
5;'{"slogan": "Do you see colors like others?"}';1;5
6;'{"slogan": "Shine a light on vision research!"}';1;6
7;'{"slogan": "Do you think like others?"}';1;7
8;'{"slogan": "Are you more like a scientist or a buddha?"}';1;8
9;'{"slogan": "How is your brain wired?"}';1;9
10;'{"slogan": "How do people think differently?"}';1;10
11;'{"slogan": "Compare your thinking style!"}';1;11
12;'{"slogan": "Support research on the way we think!"}';1;12
13;'{"slogan": "Can you predict the weather?"}';1;13
14;'{"slogan": "Help us build a roadmap of memory!"}';1;14
15;'{"slogan": "Can you decode an alien language?"}';1;15
16;'{"slogan": "Test your subconscious!"}';1;16
17;'{"slogan": "How does your memory stack up to others?"}';1;17
18;'{"slogan": "Contribute to our understanding of understanding!"}';1;18
